Title,Subject Description,Course Number,Section,Hours,CRN,Term,Instructor,Meeting Times,Campus,Status,Attribute
Impact of AI on Business (Lecture),Business Administration,3501,1,4,15027,Fall 2025 Semester,"Zafar, Naeem (Primary) and Vahia, Durgam",Wednesday 05:00 PM - 08:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/07/2025,"Silicon Valley, CA",20 of 20 seats remain.,"NUpath Natural/Designed World, Business Admin"
Intensive Foundations of Computer Science (Lecture),Computer Science,5001,11,4,18464,Fall 2025 Semester,"Sharif Rohani, Aida (Primary)",Monday 03:00 PM - 06:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",30 of 30 seats remain. 15 of 15 waitlist seats remain. ,GSCS Computer & Info Science
Intensive Foundations of Computer Science (Lecture),Computer Science,5001,12,4,18465,Fall 2025 Semester,"Miller, Mark (Primary)",Tuesday 11:00 AM - 02:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",30 of 30 seats remain. 15 of 15 waitlist seats remain. ,GSCS Computer & Info Science
Discrete Structures (Lecture),Computer Science,5002,11,4,18478,Fall 2025 Semester,"Saad, Nadim (Primary)",Monday and Wednesday 09:00 AM - 10:40 AM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",60 of 60 seats remain. 30 of 30 waitlist seats remain. ,GSCS Computer & Info Science
Recitation for CS 5001 (Recitation/Discussion),Computer Science,5003,15,0,18495,Fall 2025 Semester,"Sharif Rohani, Aida (Primary)",Friday 03:00 PM - 04:30 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",15 of 15 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
Recitation for CS 5001 (Recitation/Discussion),Computer Science,5003,16,0,18496,Fall 2025 Semester,"Sharif Rohani, Aida (Primary)",Friday 05:00 PM - 06:30 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",15 of 15 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
Recitation for CS 5001 (Recitation/Discussion),Computer Science,5003,17,0,18497,Fall 2025 Semester,"Miller, Mark (Primary)",Tuesday 03:00 PM - 04:30 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",15 of 15 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
Recitation for CS 5001 (Recitation/Discussion),Computer Science,5003,18,0,18498,Fall 2025 Semester,"Miller, Mark (Primary)",Tuesday 05:00 PM - 06:30 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",15 of 15 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
Object-Oriented Design (Lecture),Computer Science,5004,5,4,18505,Fall 2025 Semester,"Miller, Mark (Primary)",Thursday 01:00 PM - 04:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",15 of 20 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
Recitation for CS 5004 (Recitation/Discussion),Computer Science,5005,5,0,18510,Fall 2025 Semester,"Miller, Mark (Primary)",Thursday 05:00 PM - 06:30 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",15 of 20 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
"Data Structures, Algorithms, and Their Applications within Computer Systems (Lecture)",Computer Science,5008,6,4,18516,Fall 2025 Semester,"Narins, Lothar (Primary)",Tuesday 03:00 PM - 06:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",12 of 20 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
Recitation for CS 5008 (Recitation/Discussion),Computer Science,5009,5,0,18521,Fall 2025 Semester,"Narins, Lothar (Primary)",Wednesday 01:00 PM - 02:30 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",12 of 20 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
Programming Design Paradigm (Lecture),Computer Science,5010,10,4,18532,Fall 2025 Semester,"Cheng, Zhuoqun (Primary)",Tuesday and Thursday 05:00 PM - 06:40 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",24 of 30 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
Recitation for CS 5010 (Recitation/Discussion),Computer Science,5011,6,0,18540,Fall 2025 Semester,"Cheng, Zhuoqun (Primary)",Thursday 07:00 PM - 08:30 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",12 of 15 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
Recitation for CS 5010 (Recitation/Discussion),Computer Science,5011,7,0,18541,Fall 2025 Semester,"Cheng, Zhuoqun (Primary)",Tuesday 07:00 PM - 08:30 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",12 of 15 seats remain. 10 of 10 waitlist seats remain. ,GSCS Computer & Info Science
Artificial Intelligence for Human-Computer Interaction (Lecture),Computer Science,5170,3,4,18565,Fall 2025 Semester,"Bayat, Akram (Primary)",Wednesday 01:00 PM - 04:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",25 of 30 seats remain. 15 of 15 waitlist seats remain. ,GSCS Computer & Info Science
Database Management Systems (Lecture),Computer Science,5200,12,4,18578,Fall 2025 Semester,"Lee, Eunjeong (Primary)",Friday 03:00 PM - 06:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",8 of 40 seats remain. 20 of 20 waitlist seats remain. ,"GSCS Computer & Info Science, NUpath Analyzing/Using Data"
